target,o2_1,o2_2,nh4_1,nh4_2,no2_1,no2_2,no3_1,no3_2,bod5_1,bod5_2
7.1,6.95,7.55,0.215,0.22,0.039,0.033,2.475,2.2,3.3,4.7
7.35,46.95,7.35,0.615,0.755,0.0445,0.0675,5.065,5.925,7.6,5.4
5.9,5.9,7.4,1.02,1.3,0.039,0.181,8.4,7.94,1.5,3.8
6.7,6.4,7.0,0.49,0.314,0.034,0.027,0.7,0.95,4.2,3.9
11.7,8.7,8.566666666666666,0.425,0.4400000000000001,0.07,0.07,2.35,2.4,4.8,4.833333333333333
9.1,7.366666666666667,40.9,0.2466666666666667,0.895,0.0886666666666666,1.36,2.3466666666666667,5.105,3.333333333333333,6.949999999999998
12.7,12.9,11.0,0.33,0.21,0.044,0.038,4.3,5.67,8.8,8.8
9.98,9.0,9.05,0.29,1.01,0.033,0.0575,0.57,3.85,4.02,3.97
7.4,9.4,7.4,1.3,2.2,0.56,0.47,5.8,4.2,3.15,2.2
8.5,7.05,6.025,0.245,0.425,0.031,0.0385,1.96,2.025,6.6,5.8
12.35,10.9,10.2,0.14,0.15,0.0575,0.078,1.55,1.5,9.65,10.95
9.0,7.75,7.199999999999998,0.225,0.2,0.123,0.125,1.665,1.3,7.899999999999999,6.3
6.6,5.7,8.4,0.28,0.16,0.062,0.0775,0.89,1.01,5.85,6.7
10.36,10.0,8.76,0.1215,0.125,0.03,0.015,1.3250000000000002,1.855,6.575,4.275
13.8,15.0,14.1,0.76,1.0,0.15,0.071,7.41,5.76,4.65,5.61
7.28,5.8900000000000015,5.42,0.145,0.09,0.093,0.2,5.485,10.5,2.91,2.52
15.8,13.5,10.4,0.23,0.24,0.017,0.039,0.4,1.3,2.86,1.04
7.8,7.8,8.9,0.2,0.21,0.05,0.03,1.02,1.2,6.9,8.7
6.7,11.3,8.9,0.085,0.11,0.036,0.029,0.96,1.2,2.8,6.02
5.6,5.9,7.8,0.22,0.21,0.02,0.02,0.88,0.95,7.0,7.8
9.93,10.0,6.63,0.15,0.215,0.06,0.045,0.79,1.62,4.8,5.7
5.88,4.765,6.32,0.18,0.125,0.0849999999999999,0.08,4.935,5.52,5.95,4.7
7.58,6.625,6.55,0.105,0.165,0.0335,0.0265,4.775,4.545,7.1,6.1
7.48,6.54,4.98,0.04,0.02,0.05,0.06,0.09,0.12,10.7,7.3
7.2,5.550000000000002,6.345,0.24,0.245,0.05,0.03,1.37,2.15,6.45,6.5
4.2,5.4,6.4,0.35,0.32,0.09,0.09,2.5,2.8,4.8,3.9
7.01,7.17,7.94,0.21,0.18,0.06,0.05,1.5,1.4,3.9,4.1
7.88,6.449999999999998,6.7,0.205,0.1649999999999999,0.065,0.06,1.25,2.4000000000000004,3.5,3.3000000000000003
8.88,6.55,8.25,0.14,0.12,0.1,0.09,10.85,9.26,7.1,9.0
10.9,7.5,7.0,0.17,0.23,0.037,0.11,2.5,3.2,4.1,3.4
8.9,8.55,8.75,0.71,1.12,0.075,0.105,7.8,7.6,3.05,2.4000000000000004
8.3,9.1,8.2,0.14,0.2,0.02,0.02,1.3,1.61,5.2,3.3
8.8,9.7,9.2,1.23,1.36,0.07,0.06,6.8,5.8,1.9,2.4
9.1,10.3,8.1,0.26,0.22,0.018,0.038,0.47,0.75,5.3,3.9
8.72,8.1,8.3,0.215,0.18,0.07,0.105,1.6,2.205,4.6,4.9
17.5,14.1,15.3,0.17,0.14,0.05,0.04,0.3,0.12,6.4,6.8
7.8,8.3,9.1,1.59,1.83,0.07,0.1,6.5,5.5,3.6,1.9
9.7,8.9,10.5,1.48,1.99,0.37,0.09,7.6,7.6,5.7,2.2
14.1,11.0,8.6,0.18,0.2,0.05,0.04,1.9,3.0,10.4,8.0
7.2,5.0,5.5,0.33,0.29,0.013,0.006,0.55,0.62,4.4,5.4
8.1,7.5,8.5,0.3,0.3,0.012,0.08,0.4,0.55,5.0,5.4
11.8,12.4,9.7,0.221,0.207,0.024,0.046,4.25,3.4,7.9,4.9
10.0,7.1,5.2,0.25,0.22,0.0,0.0,0.0,0.0,3.7,5.2
13.05,12.7,12.6,1.17,1.84,0.081,0.1,5.05,6.3,7.3,5.9
9.5,9.7,8.9,1.49,2.6,0.065,0.095,3.29,4.22,2.52,1.72
10.25,9.15,8.565000000000001,0.31,0.28,0.0565,0.0585,0.215,0.18,4.25,4.800000000000002
8.6,4.9,7.1,0.52,0.86,0.5,0.3,2.6,2.3,3.1,4.0
5.2,3.1,6.6,0.16,0.15,0.07,0.06,0.0,0.0,8.0,7.4
14.2,7.4,13.6,0.25,0.19,0.05,0.08,0.0,0.49,8.3,7.6
6.8,7.7,7.5,0.38,1.9,0.62,0.064,2.8,3.33,5.0,5.8
5.3,6.3,5.65,0.37,0.5,0.69,0.95,4.37,3.16,8.0,8.0
8.6,8.6,11.0,2.4,3.6,0.15,0.14,0.53,3.0,6.8,7.2
9.9,9.6,14.1,0.31,0.5,0.21,0.08,3.1,3.5,5.2,7.8
6.5,6.5,7.7,0.19,0.26,0.13,0.072,0.0,0.0,3.4,4.1
